Brand,Body,Mileage,EngineV,Engine Type,Registration,Year,Model,Price
Mercedes-Benz,sedan,68,6,Petrol,yes,2011,S 600,300000
Mercedes-Benz,other,37,5,Petrol,yes,2012,G 500,300000
Mercedes-Benz,sedan,29,6,Petrol,yes,2011,S-Guard,295000
Mercedes-Benz,sedan,29,6,Petrol,yes,2011,S 600,295000
Mercedes-Benz,other,6,5.5,Petrol,yes,2016,S 63 AMG,250000
BMW,crossover,90,3,Diesel,yes,2013,X5 M,55500
Volkswagen,crossover,47,3,Diesel,yes,2016,Touareg,55500
Volkswagen,crossover,36,3,Diesel,yes,2015,Touareg,55500
Mercedes-Benz,sedan,34,2.2,Diesel,yes,2011,S 250,55000
Audi,crossover,100,6,Diesel,yes,2009,Q7,55000
Mercedes-Benz,crossover,0,5.5,Petrol,yes,2016,GLS 63,199999
Mercedes-Benz,crossover,0,5.5,Petrol,yes,2016,GLS 63,199999
Mercedes-Benz,crossover,0,5.5,Petrol,yes,2016,GLS 63,199999
Mercedes-Benz,crossover,0,5.5,Petrol,yes,2016,GLS 63,199999
Toyota,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,195000
Toyota,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,195000
Mercedes-Benz,crossover,2,5.5,Petrol,yes,2016,GLS 63,195000
Mercedes-Benz,other,0,4.7,Petrol,yes,2016,S 500,189999
Mercedes-Benz,other,0,4.7,Petrol,yes,2016,S 500,187555
Mercedes-Benz,other,0,4.7,Petrol,yes,2016,S 500,185555
Mercedes-Benz,crossover,0,5.5,Petrol,yes,2016,G 63 AMG,177777
Mercedes-Benz,crossover,0,5.5,Petrol,yes,2016,GLS 63,177000
Mercedes-Benz,other,0,3,Petrol,yes,2016,S 400,173333
Mercedes-Benz,van,1,3,Diesel,yes,2014,Sprinter 319,169000
Mercedes-Benz,other,1,4.7,Petrol,yes,2015,S 500,169000
Toyota,crossover,0,4.5,Diesel,yes,2015,Land Cruiser 200,164500
Mercedes-Benz,other,8,4.6,Petrol,yes,2015,S 500,160000
Mercedes-Benz,other,0,3,Petrol,yes,2016,S 400,159999
Mercedes-Benz,crossover,0,4.6,Petrol,yes,2016,GLS 500,154999
Mercedes-Benz,sedan,16,3,Diesel,yes,2014,S 350,144900
Mercedes-Benz,crossover,88,5.46,Petrol,yes,2013,G 63 AMG,140000
BMW,crossover,0,4.4,Petrol,yes,2016,X6 M,139000
Mercedes-Benz,crossover,0,3,Diesel,yes,2016,G 350,138000
BMW,crossover,2,4.4,Petrol,yes,2016,X5 M,137000
Mercedes-Benz,crossover,82,5.5,Petrol,yes,2014,G 63 AMG,137000
Mercedes-Benz,sedan,54,4.66,Petrol,yes,2015,S 500,135555
Toyota,crossover,1,4.5,Diesel,yes,2011,Land Cruiser 200,135000
BMW,crossover,7,4.4,Petrol,yes,2015,X5 M,133000
Mercedes-Benz,sedan,37,4.7,Petrol,yes,2014,S 500,129999
Mercedes-Benz,crossover,0,4.67,Petrol,yes,2016,GLS 500,129999
Mercedes-Benz,crossover,1,2.99,Diesel,yes,2016,GLS 350,129999
BMW,sedan,2,5,Petrol,yes,2016,750,129222
Mercedes-Benz,sedan,14,3,Diesel,yes,2015,S 350,126000
Mercedes-Benz,sedan,17,3,Diesel,yes,2015,S 350,125000
Mercedes-Benz,sedan,18,3,Diesel,yes,2015,S 350,125000
Mercedes-Benz,sedan,18,3,Diesel,yes,2015,S 350,125000
Mercedes-Benz,sedan,9,3,Diesel,yes,2014,S 350,125000
Mercedes-Benz,crossover,0,3,Diesel,yes,2016,GLS 350,124999
Mercedes-Benz,crossover,0,4,Petrol,yes,2016,GLS 400,124000
Mercedes-Benz,crossover,0,3,Petrol,yes,2016,GLS 400,124000
Mercedes-Benz,sedan,22,3,Diesel,yes,2014,S 350,121500
Mercedes-Benz,sedan,27,3,Diesel,yes,2014,S 350,119000
BMW,crossover,1,NA,Other,yes,2016,X6 M,117000
Mercedes-Benz,sedan,25,3,Diesel,yes,2015,S 350,116500
BMW,crossover,4,3,Diesel,yes,2016,X5 M,115800
Mercedes-Benz,crossover,39,3,Diesel,yes,2015,G 350,115555
Mercedes-Benz,sedan,49,4.7,Petrol,yes,2014,S 500,115000
Mercedes-Benz,sedan,47,4.6,Petrol,yes,2013,S 500,115000
Mercedes-Benz,other,35,NA,Diesel,yes,2015,G 350,115000
Mercedes-Benz,crossover,0,2.99,Diesel,yes,2016,GLS 350,114999
Mercedes-Benz,crossover,0,3,Diesel,yes,2016,GLS 350,114999
BMW,sedan,16,3,Diesel,yes,2015,730,112000
Mercedes-Benz,crossover,0,3,Diesel,yes,2016,GLS 350,111999
Mercedes-Benz,crossover,0,3,Diesel,yes,2016,GL 350,111999
Mercedes-Benz,crossover,0,3,Diesel,yes,2016,GLS 350,110000
Mercedes-Benz,van,0,2.2,Diesel,yes,2016,V 250,109999
Mercedes-Benz,crossover,0,3,Diesel,yes,2016,GLS 350,109999
Mercedes-Benz,crossover,0,2.98,Diesel,yes,2016,GLS 350,109999
Mercedes-Benz,crossover,0,2.98,Diesel,yes,2016,GLS 350,109999
Mercedes-Benz,crossover,1,3,Diesel,yes,2016,GLS 350,109999
Mercedes-Benz,sedan,40,3,Diesel,yes,2014,S 350,109900
Mercedes-Benz,crossover,0,3.5,Diesel,yes,2016,GLS 350,109000
Mercedes-Benz,crossover,0,2.98,Diesel,yes,2016,GLS 350,107999
Mercedes-Benz,crossover,0,3,Diesel,yes,2016,GLS 350,107999
Mercedes-Benz,crossover,0,3,Diesel,yes,2016,GLS 350,107777
Mercedes-Benz,van,0,2.2,Diesel,yes,2016,V 250,107000
Mercedes-Benz,crossover,0,2.98,Diesel,yes,2016,GLE-Class,105999
Mercedes-Benz,crossover,1,3,Diesel,yes,2016,GLS 350,105000
BMW,crossover,2,3,Diesel,yes,2016,X5,104999
BMW,crossover,2,3,Diesel,yes,2016,X5,104999
Mercedes-Benz,crossover,1,3,Diesel,yes,2016,GLE-Class,104999
Mercedes-Benz,crossover,16,5.5,Petrol,yes,2015,ML 63 AMG,104000
Toyota,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,103999
Toyota,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,103999
Mercedes-Benz,crossover,0,3,Diesel,yes,2016,GLE-Class,103333
Toyota,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,102999
Mercedes-Benz,van,0,2.2,Diesel,yes,2016,V 250,102800
Toyota,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,100000
Toyota,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,99999
Toyota,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,99999
Toyota,crossover,0,4.5,Petrol,yes,2016,Land Cruiser 200,99999
Mercedes-Benz,crossover,0,2.99,Diesel,yes,2016,GLE-Class,99999
Mercedes-Benz,crossover,0,3,Petrol,yes,2016,GLE-Class,99999
Mercedes-Benz,crossover,30,5,Petrol,yes,2013,G 500,99999
BMW,other,0,3,Petrol,yes,2016,640,99999
Mercedes-Benz,van,5,1.6,Diesel,yes,2013,Viano,99000
Mercedes-Benz,crossover,0,3,Diesel,yes,2016,GLS 350,99000
Mercedes-Benz,sedan,0,3,Petrol,yes,2016,CLS 400,99000
Audi,other,12,5.2,Petrol,yes,2012,R8,98000
Mercedes-Benz,van,0,2.5,Diesel,yes,2016,V 250,97555
Toyota,crossover,2,4.6,Petrol,yes,2016,Land Cruiser 200,97500
Audi,other,30,5.2,Petrol,yes,2010,R8,95000
Mercedes-Benz,crossover,0,NA,Other,yes,2016,GLS 350,93555
Audi,crossover,0,3,Diesel,yes,2016,Q7,92222
Audi,sedan,4,3,Diesel,yes,2015,A8,90999
BMW,crossover,17,4.4,Petrol,yes,2015,X6 M,89999
Audi,crossover,0,3,Diesel,yes,2015,Q7,89999
Toyota,crossover,61,4.5,Diesel,yes,2011,Land Cruiser 200,89000
Audi,crossover,0,3,Diesel,yes,2015,Q7,88888
Toyota,crossover,3,4.5,Diesel,yes,2016,Land Cruiser 200,88000
Mercedes-Benz,van,0,2.2,Diesel,yes,2016,V 250,87777
BMW,crossover,0,3,Diesel,yes,2016,X6,86999
BMW,crossover,0,3,Diesel,yes,2016,X6,86999
Mercedes-Benz,crossover,3,3,Diesel,yes,2016,GLS 350,86000
BMW,crossover,19,3,Diesel,yes,2015,X6,85900
Audi,sedan,40,3,Diesel,yes,2015,A8,85555
BMW,sedan,10,3,Other,yes,2015,6 Series Gran Coupe,85555
BMW,sedan,10,3,Diesel,yes,2015,640,85555
Mercedes-Benz,van,3,2.2,Diesel,yes,2016,V 250,85000
Toyota,crossover,1,4.5,Diesel,yes,2016,Land Cruiser 200,85000
Mercedes-Benz,sedan,36,5.5,Petrol,yes,2014,CLS 63 AMG,85000
Mercedes-Benz,crossover,70,3,Diesel,yes,2013,GL 350,83000
Mercedes-Benz,crossover,69,3,Diesel,yes,2014,GL 350,82555
Audi,crossover,0,2.98,Diesel,yes,2016,Q7,81999
Mercedes-Benz,sedan,1,3,Diesel,yes,2016,GLE-Class,81500
Audi,sedan,0,3,Petrol,yes,2016,A7,81500
BMW,sedan,23,4.4,Petrol,yes,2014,M5,81000
