job,marital,education,housing,loan,contact,poutcome,subscribed,job_num,marital_num,education_num,contact_num,poutcome_num,housing_num,loan_num,subscribed_num
blue-collar,married,secondary,no,no,unknown,unknown,no,1,1,1,2,3,0,0,0
blue-collar,married,secondary,no,no,cellular,unknown,no,1,1,1,0,3,0,0,0
blue-collar,married,unknown,yes,no,unknown,unknown,no,1,1,3,2,3,1,0,0
self-employed,married,tertiary,no,no,cellular,unknown,no,6,1,2,0,3,0,0,0
technician,married,secondary,no,no,cellular,unknown,no,9,1,1,0,3,0,0,0
services,married,secondary,yes,no,unknown,unknown,no,7,1,1,2,3,1,0,0
technician,married,unknown,yes,no,cellular,success,yes,9,1,3,0,2,1,0,1
technician,single,tertiary,yes,no,cellular,failure,no,9,2,2,0,0,1,0,0
blue-collar,married,secondary,yes,no,telephone,unknown,no,1,1,1,1,3,1,0,0
management,married,tertiary,yes,no,unknown,unknown,no,4,1,2,2,3,1,0,0
retired,married,tertiary,no,no,telephone,failure,yes,5,1,2,1,0,0,0,1
student,single,primary,no,no,telephone,success,yes,8,2,0,1,2,0,0,1
technician,single,secondary,no,no,cellular,other,no,9,2,1,0,1,0,0,0
management,married,tertiary,no,no,cellular,unknown,no,4,1,2,0,3,0,0,0
self-employed,single,tertiary,no,no,cellular,success,no,6,2,2,0,2,0,0,0
management,married,tertiary,no,yes,cellular,unknown,no,4,1,2,0,3,0,1,0
technician,married,primary,yes,no,unknown,unknown,no,9,1,0,2,3,1,0,0
services,divorced,secondary,yes,yes,cellular,failure,no,7,0,1,0,0,1,1,0
management,single,tertiary,yes,no,cellular,unknown,no,4,2,2,0,3,1,0,0
management,married,tertiary,no,no,cellular,unknown,no,4,1,2,0,3,0,0,0
blue-collar,married,secondary,yes,yes,unknown,unknown,no,1,1,1,2,3,1,1,0
admin.,married,tertiary,yes,no,cellular,unknown,no,0,1,2,0,3,1,0,0
technician,divorced,secondary,yes,no,cellular,unknown,no,9,0,1,0,3,1,0,0
technician,single,secondary,yes,no,unknown,unknown,no,9,2,1,2,3,1,0,0
management,married,tertiary,no,no,unknown,unknown,no,4,1,2,2,3,0,0,0
technician,single,secondary,yes,no,cellular,unknown,no,9,2,1,0,3,1,0,0
services,single,secondary,yes,no,unknown,unknown,no,7,2,1,2,3,1,0,0
blue-collar,married,primary,no,no,unknown,unknown,no,1,1,0,2,3,0,0,0
admin.,married,primary,yes,no,cellular,failure,no,0,1,0,0,0,1,0,0
services,married,secondary,no,yes,cellular,unknown,no,7,1,1,0,3,0,1,0
blue-collar,married,secondary,yes,no,cellular,unknown,no,1,1,1,0,3,1,0,0
admin.,divorced,secondary,no,yes,cellular,unknown,no,0,0,1,0,3,0,1,0
blue-collar,single,primary,yes,no,cellular,unknown,no,1,2,0,0,3,1,0,0
services,married,secondary,yes,no,cellular,unknown,no,7,1,1,0,3,1,0,0
entrepreneur,married,tertiary,yes,no,cellular,unknown,no,2,1,2,0,3,1,0,0
unemployed,divorced,secondary,no,no,cellular,unknown,no,10,0,1,0,3,0,0,0
technician,single,tertiary,no,no,cellular,unknown,no,9,2,2,0,3,0,0,0
admin.,married,unknown,no,no,cellular,unknown,no,0,1,3,0,3,0,0,0
housemaid,married,primary,no,no,unknown,unknown,no,3,1,0,2,3,0,0,0
blue-collar,married,primary,no,no,telephone,other,no,1,1,0,1,1,0,0,0
technician,married,secondary,yes,no,cellular,failure,yes,9,1,1,0,0,1,0,1
entrepreneur,married,tertiary,yes,no,unknown,unknown,no,2,1,2,2,3,1,0,0
blue-collar,married,primary,yes,no,unknown,unknown,no,1,1,0,2,3,1,0,0
technician,married,secondary,no,no,cellular,unknown,no,9,1,1,0,3,0,0,0
services,single,secondary,yes,yes,unknown,unknown,no,7,2,1,2,3,1,1,0
technician,single,secondary,no,no,cellular,unknown,no,9,2,1,0,3,0,0,0
management,married,secondary,no,no,telephone,failure,no,4,1,1,1,0,0,0,0
management,divorced,secondary,yes,no,cellular,unknown,no,4,0,1,0,3,1,0,0
management,married,unknown,yes,yes,unknown,unknown,no,4,1,3,2,3,1,1,0
services,divorced,secondary,no,no,cellular,unknown,no,7,0,1,0,3,0,0,0
retired,married,secondary,no,no,cellular,unknown,yes,5,1,1,0,3,0,0,1
technician,married,secondary,yes,no,unknown,unknown,no,9,1,1,2,3,1,0,0
blue-collar,married,primary,yes,no,cellular,other,no,1,1,0,0,1,1,0,0
blue-collar,married,secondary,yes,no,cellular,failure,no,1,1,1,0,0,1,0,0
blue-collar,single,secondary,yes,no,cellular,unknown,no,1,2,1,0,3,1,0,0
